,survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
400,0,male,28.0,0,0,227.525,First,B,Cherbourg,y
402,1,female,36.0,1,0,17.4,Third,G,Southampton,n
403,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
404,0,male,40.0,0,0,7.8958,Third,F,Southampton,y
405,0,male,28.0,0,0,8.05,Third,F,Southampton,y
406,0,male,24.0,2,0,24.15,Third,G,Southampton,n
407,0,male,19.0,0,0,7.8958,Third,F,Southampton,y
408,0,female,29.0,0,4,21.075,Third,G,Southampton,n
409,1,male,32.0,0,0,7.8542,Third,E,Southampton,y
410,1,male,62.0,0,0,10.5,Second,E,Southampton,y
413,0,male,16.0,0,0,8.05,Third,F,Southampton,y
414,1,female,34.0,0,0,13.0,Second,E,Southampton,y
415,1,female,25.0,1,1,30.0,Second,F,Southampton,n
417,0,male,47.0,0,0,15.0,Second,E,Southampton,y
419,0,male,28.0,0,0,8.05,Third,F,Southampton,y
420,0,male,35.0,0,0,7.125,Third,F,Southampton,y
422,0,male,47.0,0,0,7.25,Third,F,Southampton,y
423,0,female,28.0,0,2,7.75,Third,G,Queenstown,n
424,0,male,37.0,1,0,26.0,Second,F,Southampton,n
425,0,male,36.0,1,1,24.15,Third,G,Southampton,n
426,1,female,28.0,0,0,33.0,Second,E,Southampton,y
427,0,male,49.0,0,0,0.0,Third,F,Southampton,y
428,0,male,28.0,0,0,7.225,Third,F,Cherbourg,y
430,1,male,35.0,0,0,26.55,First,B,Cherbourg,y
431,0,male,36.0,1,0,15.55,Third,G,Southampton,n
432,0,male,30.0,0,0,7.8958,Third,F,Southampton,y
433,1,male,27.0,0,0,30.5,First,C,Southampton,y
434,1,female,22.0,1,2,41.5792,Second,D,Cherbourg,n
436,0,female,39.0,1,5,31.275,Third,G,Southampton,n
437,0,male,28.0,0,0,7.05,Third,F,Southampton,y
438,1,female,28.0,1,0,15.5,Third,G,Queenstown,n
439,0,male,35.0,0,0,8.05,Third,F,Southampton,y
440,1,female,24.0,1,2,65.0,Second,F,Southampton,n
441,0,male,34.0,1,1,14.4,Third,G,Southampton,n
442,0,male,26.0,0,0,10.5,Second,E,Southampton,y
443,1,male,20.0,1,1,15.7417,Third,E,Cherbourg,n
445,0,male,57.0,0,0,12.35,Second,E,Queenstown,y
447,0,male,26.0,0,0,7.8958,Third,F,Southampton,y
448,0,male,28.0,0,0,7.7333,Third,F,Queenstown,y
450,0,male,51.0,0,0,7.0542,Third,F,Southampton,y
452,0,female,9.0,3,2,27.9,Third,G,Southampton,n
453,1,female,28.0,0,0,13.0,Second,E,Southampton,y
454,0,male,32.0,0,0,7.925,Third,F,Southampton,y
455,0,female,41.0,0,5,39.6875,Third,G,Southampton,n
456,0,male,28.0,1,0,16.1,Third,G,Southampton,n
457,0,male,20.0,0,0,7.8542,Third,F,Southampton,y
458,1,male,28.0,0,0,56.4958,Third,E,Southampton,y
459,1,female,0.75,2,1,19.2583,Third,G,Cherbourg,n
461,0,male,28.0,0,0,7.55,Third,F,Southampton,y
462,1,female,23.0,0,0,7.55,Third,E,Southampton,y
463,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
464,1,female,18.0,0,1,23.0,Second,F,Southampton,n
465,0,male,21.0,0,0,8.4333,Third,F,Southampton,y
466,0,male,24.0,2,0,73.5,Second,C,Southampton,n
467,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
468,0,female,32.0,1,1,15.5,Third,G,Queenstown,n
469,1,male,50.0,2,0,133.65,First,C,Southampton,n
471,0,male,36.0,0,0,7.4958,Third,F,Southampton,y
472,1,male,20.0,1,0,7.925,Third,E,Southampton,n
473,0,male,25.0,0,0,13.0,Second,F,Southampton,y
474,0,male,28.0,0,0,7.775,Third,F,Southampton,y
475,0,male,43.0,0,0,8.05,Third,F,Southampton,y
476,1,female,40.0,1,1,39.0,Second,F,Southampton,n
478,1,male,31.0,0,0,13.0,Second,E,Southampton,y
479,0,male,28.0,0,0,0.0,Second,E,Southampton,y
480,0,male,18.0,0,0,7.775,Third,F,Southampton,y
481,1,female,18.0,0,0,9.8417,Third,E,Southampton,y
484,0,male,20.0,0,0,9.225,Third,F,Southampton,y
485,0,male,14.0,5,2,46.9,Third,G,Southampton,n
486,0,male,60.0,1,1,39.0,Second,F,Southampton,n
487,0,male,19.0,0,0,10.1708,Third,F,Southampton,y
488,0,male,18.0,0,0,7.7958,Third,F,Southampton,y
491,1,female,4.0,0,1,13.4167,Third,G,Cherbourg,n
492,1,male,28.0,0,0,56.4958,Third,E,Southampton,y
493,0,male,60.0,0,0,26.55,First,E,Southampton,y
494,1,female,28.0,0,0,7.7333,Third,E,Queenstown,y
497,0,male,25.0,0,0,7.7417,Third,F,Queenstown,y
498,0,male,39.0,0,0,26.0,Second,E,Southampton,y
499,1,female,22.0,0,0,151.55,First,C,Southampton,y
500,1,male,28.0,1,1,15.2458,Third,E,Cherbourg,n
504,0,male,29.0,0,0,9.4833,Third,F,Southampton,y
508,0,male,28.0,0,0,15.5,Third,F,Queenstown,y
509,0,male,33.0,0,0,7.775,Third,F,Southampton,y
510,1,female,6.0,0,1,33.0,Second,F,Southampton,n
511,0,male,50.0,0,0,13.0,Second,E,Southampton,y
513,1,female,30.0,3,0,21.0,Second,F,Southampton,n
514,0,male,25.0,1,0,26.0,Second,F,Southampton,n
515,0,female,25.0,1,0,7.925,Third,G,Southampton,n
517,0,male,11.0,0,0,18.7875,Third,D,Cherbourg,y
518,0,male,28.0,0,0,0.0,Second,E,Southampton,y
519,0,male,23.0,0,0,13.0,Second,F,Southampton,y
520,0,male,23.0,0,0,13.0,Second,F,Southampton,y
522,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
523,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
526,0,male,24.0,1,0,16.1,Third,G,Southampton,n
528,1,female,4.0,1,1,23.0,Second,F,Southampton,n
530,0,male,33.0,0,0,9.5,Third,E,Southampton,y
531,0,male,23.0,0,0,7.8958,Third,F,Southampton,y
532,1,female,48.0,1,2,65.0,Second,F,Southampton,n
533,0,male,28.0,0,0,7.7958,Third,F,Southampton,y
534,0,male,34.0,0,0,8.05,Third,F,Southampton,y
535,0,male,28.0,0,0,14.5,Third,F,Southampton,y
536,0,male,41.0,0,0,7.125,Third,F,Southampton,y
537,1,male,20.0,0,0,7.2292,Third,D,Cherbourg,y
539,0,male,28.0,0,0,39.6,First,A,Cherbourg,y
540,0,male,28.0,1,0,24.15,Third,F,Queenstown,n
541,0,male,32.0,0,0,8.3625,Third,F,Southampton,y
542,0,male,48.0,0,0,7.8542,Third,F,Southampton,y
544,0,male,18.0,0,0,7.75,Third,F,Southampton,y
546,1,female,5.0,0,0,12.475,Third,E,Southampton,y
549,0,male,28.0,1,2,23.45,Third,G,Southampton,n
550,0,male,25.0,0,0,7.05,Third,F,Southampton,y
551,1,male,1.0,1,2,20.575,Third,E,Southampton,n
553,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
554,0,male,16.0,0,0,26.0,Second,F,Southampton,y
555,0,female,28.0,8,2,69.55,Third,G,Southampton,n
556,0,male,28.0,0,0,30.6958,First,C,Cherbourg,y
557,0,male,25.0,0,0,7.8958,Third,F,Southampton,y
558,0,male,39.0,0,0,13.0,Second,E,Southampton,y
560,1,female,31.0,0,0,8.6833,Third,E,Southampton,y
561,0,male,30.0,0,0,7.2292,Third,F,Cherbourg,y
562,0,female,30.0,1,1,24.15,Third,G,Southampton,n
563,0,male,34.0,0,0,13.0,Second,E,Southampton,y
564,1,female,31.0,1,1,26.25,Second,F,Southampton,n
566,0,male,31.0,0,0,7.775,Third,F,Southampton,y
568,0,male,39.0,0,0,13.0,Second,E,Southampton,y
570,0,male,26.0,0,0,7.8875,Third,F,Southampton,y
571,0,male,39.0,0,0,24.15,Third,E,Southampton,y
572,0,male,35.0,0,0,10.5,Second,E,Southampton,y
573,0,male,30.5,0,0,8.05,Third,F,Southampton,y
575,0,female,23.0,0,0,7.925,Third,F,Southampton,y
576,0,male,31.0,1,1,37.0042,Second,D,Cherbourg,n
577,0,male,10.0,3,2,27.9,Third,G,Southampton,n
579,1,male,27.0,0,0,8.6625,Third,E,Southampton,y
580,0,male,2.0,4,1,39.6875,Third,G,Southampton,n
581,0,male,28.0,0,0,6.95,Third,F,Queenstown,y
582,0,male,28.0,0,0,56.4958,Third,F,Southampton,y
583,1,male,28.0,0,0,7.75,Third,F,Queenstown,y
584,1,female,15.0,1,0,14.4542,Third,G,Cherbourg,n
585,0,male,28.0,0,0,7.2292,Third,F,Cherbourg,y
586,0,male,23.0,0,0,7.8542,Third,F,Southampton,y
587,0,male,18.0,0,0,8.3,Third,F,Southampton,y
589,0,male,21.0,0,0,8.6625,Third,F,Southampton,y
590,0,male,28.0,0,0,8.05,Third,F,Southampton,y
592,0,male,16.0,0,0,10.5,Second,E,Southampton,y
593,1,female,30.0,0,0,31.0,First,E,Cherbourg,y
594,0,male,34.5,0,0,6.4375,Third,F,Cherbourg,y
595,0,male,42.0,0,0,7.55,Third,F,Southampton,y
596,0,male,28.0,8,2,69.55,Third,G,Southampton,n
597,0,male,35.0,0,0,7.8958,Third,F,Cherbourg,y
598,0,male,28.0,0,1,33.0,Second,F,Southampton,n
600,0,male,4.0,4,2,31.275,Third,G,Southampton,n
602,1,female,18.0,0,1,9.35,Third,G,Southampton,n
603,1,female,45.0,1,1,164.8667,First,B,Southampton,n
605,1,female,24.0,0,3,19.2583,Third,G,Cherbourg,n
606,0,male,41.0,2,0,14.1083,Third,E,Southampton,n
607,0,male,24.0,0,0,13.0,Second,F,Southampton,y
608,1,female,42.0,0,0,13.0,Second,E,Southampton,y
609,1,female,27.0,1,0,13.8583,Second,D,Cherbourg,n
611,1,male,4.0,1,1,11.1333,Third,E,Southampton,n
612,0,male,26.0,0,0,7.8958,Third,F,Southampton,y
615,0,male,47.0,0,0,9.0,Third,E,Southampton,y
616,1,female,28.0,1,0,24.0,Second,D,Cherbourg,n
617,1,female,15.0,0,0,7.225,Third,D,Cherbourg,y
618,0,male,20.0,0,0,9.8458,Third,F,Southampton,y
619,0,male,19.0,0,0,7.8958,Third,F,Southampton,y
620,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
621,0,female,22.0,0,0,10.5167,Third,F,Southampton,y
622,0,male,28.0,0,0,10.5,Second,E,Southampton,y
623,0,male,25.0,0,0,7.05,Third,F,Southampton,y
625,0,female,28.0,1,2,23.45,Third,G,Southampton,n
626,0,male,32.0,0,0,7.75,Third,F,Queenstown,y
